learning_rates = [0.001, 0.01, 0.1, 0.2, 0.25, 0.3]
dropout_rates = [0.1, 0.2, 0.3]
batch_sizes = [16, 32, 64, 128, 256]
epochs_list = [10, 20, 30, 40, 50]

Accuracy: 0.28999999165534973 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 128, 'epochs': 10}
Accuracy: 0.36000001430511475 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 128, 'epochs': 20}
Accuracy: 0.36000001430511475 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 128, 'epochs': 30}
Accuracy: 0.3700000047683716 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 128, 'epochs': 40}
Accuracy: 0.4099999964237213 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 128, 'epochs': 50}
Accuracy: 0.29499998688697815 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 256, 'epochs': 10}
Accuracy: 0.33500000834465027 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 256, 'epochs': 20}
Accuracy: 0.36500000953674316 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 256, 'epochs': 30}
Accuracy: 0.39500001072883606 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 256, 'epochs': 40}
Accuracy: 0.36000001430511475 Params: {'learning_rate': 0.001, 'dropout_rate': 0.1, 'batch_size': 256, 'epochs': 50}
Accuracy: 0.3499999940395355 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 10}
Accuracy: 0.36500000953674316 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 20}
Accuracy: 0.39500001072883606 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 30}
Accuracy: 0.4099999964237213 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 40}
Accuracy: 0.4000000059604645 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 50}
Accuracy: 0.3149999976158142 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 10}
Accuracy: 0.36500000953674316 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 20}
Accuracy: 0.3799999952316284 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 30}
Accuracy: 0.41999998688697815 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 40}
Accuracy: 0.33500000834465027 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 50}
Accuracy: 0.33000001311302185 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 10}
Accuracy: 0.36500000953674316 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 20}
Accuracy: 0.36500000953674316 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 30}
Accuracy: 0.3449999988079071 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 40}
Accuracy: 0.4099999964237213 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 50}
Accuracy: 0.2849999964237213 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 10}
Accuracy: 0.39500001072883606 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 20}
Accuracy: 0.36000001430511475 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 30}
Accuracy: 0.39500001072883606 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 40}
Accuracy: 0.35499998927116394 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 50}
Accuracy: 0.25999999046325684 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 256, 'epochs': 10}
Accuracy: 0.2849999964237213 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 256, 'epochs': 20}
Accuracy: 0.33500000834465027 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 256, 'epochs': 30}
Accuracy: 0.36000001430511475 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 256, 'epochs': 40}
Accuracy: 0.35499998927116394 Params: {'learning_rate': 0.001, 'dropout_rate': 0.2, 'batch_size': 256, 'epochs': 50}
Accuracy: 0.28999999165534973 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 16, 'epochs': 10}
Accuracy: 0.3449999988079071 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 16, 'epochs': 20}
Accuracy: 0.36000001430511475 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 16, 'epochs': 30}
Accuracy: 0.4050000011920929 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 16, 'epochs': 40}
Accuracy: 0.39500001072883606 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 16, 'epochs': 50}
Accuracy: 0.3499999940395355 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 32, 'epochs': 10}
Accuracy: 0.3499999940395355 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 32, 'epochs': 20}
Accuracy: 0.4050000011920929 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 32, 'epochs': 30}
Accuracy: 0.375 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 32, 'epochs': 40}
Accuracy: 0.4099999964237213 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 32, 'epochs': 50}
Accuracy: 0.3199999928474426 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 10}
Accuracy: 0.32499998807907104 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 20}
Accuracy: 0.36000001430511475 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 30}
Accuracy: 0.36000001430511475 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 40}
Accuracy: 0.35499998927116394 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 64, 'epochs': 50}
Accuracy: 0.2549999952316284 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 128, 'epochs': 10}
Accuracy: 0.3100000023841858 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 128, 'epochs': 20}
Accuracy: 0.3400000035762787 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 128, 'epochs': 30}
Accuracy: 0.3199999928474426 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 128, 'epochs': 40}
Accuracy: 0.375 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 128, 'epochs': 50}
Accuracy: 0.23999999463558197 Params: {'learning_rate': 0.001, 'dropout_rate': 0.3, 'batch_size': 256, 'epochs': 10}
